
Predictions were generated on 14-Feb-2025 at 21:58:30 using OpenFAST, compiled on Jan 03 2025 at 11:34:41 as a 64-bit application using single precision at commit v4.0.0
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn; SeaState; HydroDyn

Description from the FAST input file: IEA 15 MW offshore reference model on UMaine VolturnUS-S semi-submersible floating platform

Time	PtfmSurge	PtfmSway	PtfmHeave	PtfmRoll	PtfmPitch	PtfmYaw	RtAeroPwr	RtFldFxh	RtFldFyh	RtFldFzh	RtFldMxh	RtFldMyh	RtFldMzh	RtVAvgxh	RtFldCp	RtFldCt	RtArea	RtSpeed	RtTSR	B1Pitch	B2Pitch	B3Pitch	GenPwr	GenTq	Wave1Elev	Wave1Elv1	Wave1Elv2	Wave2Elev	Wave2Elv1	Wave2Elv2
(s)	(m)	(m)	(m)	(deg)	(deg)	(deg)	(W)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(m/s)	(-)	(-)	(m^2)	(rpm)	(-)	(deg)	(deg)	(deg)	(kW)	(kN-m)	(m)	(m)	(m)	INVALID	INVALID	INVALID
    0.0000	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 2.403E+05	 3.910E+02	 2.035E+03	 5.218E+05	 8.703E+05	-3.115E+04	 1.488E+01	 0.000E+00	 3.888E-02	 4.554E+04	 0.000E+00	 0.000E+00	 1.720E-31	 6.016E-16	-6.154E-16	 0.000E+00	 0.000E+00	-1.666E+00	-1.666E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
    0.0100	 4.123E-06	 8.959E-10	 1.748E-05	-3.286E-09	-8.251E-06	-2.232E-09	 7.719E+00	 2.404E+05	 3.886E+02	 2.036E+03	 5.217E+05	 8.723E+05	-3.115E+04	 1.489E+01	 8.385E-08	 3.888E-02	 4.554E+04	 1.413E-04	 1.197E-04	 7.110E-23	 1.519E-15	 5.240E-16	 0.000E+00	 0.000E+00	-1.654E+00	-1.654E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
    0.0200	 1.667E-05	 3.575E-09	 6.984E-05	-1.311E-08	-3.309E-05	-8.925E-09	 1.582E+01	 2.405E+05	 3.760E+02	 2.018E+03	 5.349E+05	 8.741E+05	-3.197E+04	 1.489E+01	 1.718E-07	 3.888E-02	 4.554E+04	 2.825E-04	 2.392E-04	 5.999E-02	 5.999E-02	 5.999E-02	 0.000E+00	 0.000E+00	-1.641E+00	-1.641E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
    0.0300	 3.795E-05	 7.981E-09	 1.462E-04	-2.929E-08	-7.460E-05	-2.014E-08	 2.413E+01	 2.406E+05	 3.753E+02	 2.020E+03	 5.350E+05	 8.764E+05	-3.198E+04	 1.490E+01	 2.617E-07	 3.888E-02	 4.554E+04	 4.307E-04	 3.645E-04	 5.999E-02	 5.999E-02	 5.999E-02	 0.000E+00	 0.000E+00	-1.629E+00	-1.629E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
    0.0400	 6.811E-05	 1.408E-08	 2.385E-04	-5.170E-08	-1.328E-04	-3.591E-08	 3.242E+01	 2.407E+05	 3.699E+02	 2.015E+03	 5.394E+05	 8.784E+05	-3.225E+04	 1.490E+01	 3.514E-07	 3.888E-02	 4.554E+04	 5.741E-04	 4.858E-04	 7.998E-02	 7.998E-02	 7.998E-02	 0.000E+00	 0.000E+00	-1.616E+00	-1.616E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
    0.0500	 1.074E-04	 2.188E-08	 3.536E-04	-8.037E-08	-2.078E-04	-5.624E-08	 4.107E+01	 2.408E+05	 3.650E+02	 2.010E+03	 5.438E+05	 8.805E+05	-3.253E+04	 1.490E+01	 4.448E-07	 3.887E-02	 4.554E+04	 7.212E-04	 6.101E-04	 9.998E-02	 9.998E-02	 9.998E-02	 0.000E+00	 0.000E+00	-1.604E+00	-1.604E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
    0.0600	 1.560E-04	 3.133E-08	 4.897E-04	-1.152E-07	-2.997E-04	-8.117E-08	 4.989E+01	 2.409E+05	 3.600E+02	 2.006E+03	 5.482E+05	 8.826E+05	-3.281E+04	 1.491E+01	 5.400E-07	 3.887E-02	 4.554E+04	 8.691E-04	 7.350E-04	 1.200E-01	 1.200E-01	 1.200E-01	 0.000E+00	 0.000E+00	-1.591E+00	-1.591E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
    0.0700	 2.142E-04	 4.242E-08	 6.468E-04	-1.560E-07	-4.086E-04	-1.107E-07	 5.893E+01	 2.410E+05	 3.550E+02	 2.001E+03	 5.527E+05	 8.847E+05	-3.309E+04	 1.491E+01	 6.373E-07	 3.887E-02	 4.554E+04	 1.018E-03	 8.609E-04	 1.400E-01	 1.400E-01	 1.400E-01	 0.000E+00	 0.000E+00	-1.579E+00	-1.579E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
    0.0800	 2.821E-04	 5.512E-08	 8.244E-04	-2.028E-07	-5.347E-04	-1.449E-07	 6.817E+01	 2.412E+05	 3.497E+02	 1.996E+03	 5.572E+05	 8.868E+05	-3.337E+04	 1.491E+01	 7.368E-07	 3.887E-02	 4.554E+04	 1.168E-03	 9.877E-04	 1.600E-01	 1.600E-01	 1.600E-01	 0.000E+00	 0.000E+00	-1.566E+00	-1.566E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
